,,,,
Level Index,Amount Added (ng/g),Amount Recovered (ng/g),%Recovery,Average Standard Deviation (+-SD)
1,50,59.6,,
1,50,59.6,,
1,50,59,,
1,50,62,,
1,50,58.5,,
1,50,59.1,,
2,125,129,,
2,125,128.7,,
2,125,129.1,,
2,125,128.4,,
2,125,128.6,,
2,125,128.4,,
3,250,248.7,,
3,250,248.9,,
3,250,254.6,,
3,250,250.3,,
3,250,251.8,,
3,250,252.5,,
4,375,370.9,,
4,375,369.2,,
4,375,368.8,,
4,375,370.9,,
4,375,366,,
4,375,365.3,,
5,500,486.9,,
5,500,486.5,,
5,500,479.5,,
5,500,489.2,,
5,500,482,,
5,500,483.9,,
6,750,694,,
6,750,686,,
6,750,698,,
6,750,718,,
6,750,697,,
6,750,703,,
